ID,Name,Pantheon,First Volume,First Chapters,Notes / Relationships
1,Sera,"1 (Celestial Dragon Court)",Vol 4,141–145,"Celestial Priestess, later ally"
2,Yuki,"2 (Shadow Spirit Court)",Vol 3,101–105,"Violet Dreamer, becomes friend"
3,Elara,"5 (Twilight Convergence)",Vol 2,61–65,"Victorian Enchantress, ally"
4,Neko,"2 (Shadow Spirit Court)",Vol 3,106–110,"Crimson Feline, playful rival"
5,Hana,"5 (Twilight Convergence)",Vol 2,66–70,"Festival Dreamer, ally"
6,Mizu,"1 (Celestial Dragon Court)",Vol 4,146–150,"Deep Dragon's Daughter, ally"
7,Ame,"5 (Twilight Convergence)",Vol 2,71–75,"Bubblegum Rain Dancer, ally"
8,Lian,"3 (Immortal Garden)",Vol 1,5–8,"Lotus Petal Priestess, first friend"
9,Enoki,"2 (Shadow Spirit Court)",Vol 3,111–115,"Neon Talisman Bearer, ally"
10,Aurora,"1 (Celestial Dragon Court)",Vol 4,151–155,"Cosmic Butterfly Warrior, ally"
11,Kira,"1 (Celestial Dragon Court)",Vol 4,156–160,"Sunstone Guardian, ally"
12,Vespera,"5 (Twilight Convergence)",Vol 2,76–80,"Crystal Winged Enchantress, ally"
13,"Taiyo & Tsuki","5 (Twilight Convergence)",Vol 2,81–85,"Eclipse Twins, mysterious guides"
14,Ravenna,"2 (Shadow Spirit Court)",Vol 3,116–120,"Thorned Cage Queen, tragic figure"
15,Solis,"1 (Celestial Dragon Court)",Vol 4,161–165,"Solar Cathedral Guardian, ally"
16,Crystal,"5 (Twilight Convergence)",Vol 2,86–90,"Crystal Lotus Ringmaster, friend"
17,Devata,"2 (Shadow Spirit Court)",Vol 3,121–125,"Temple Guardian Spirit, ally"
18,Astralis,"1 (Celestial Dragon Court)",Vol 4,166–170,"Star Map Weaver, ally"
19,Morgana,"5 (Twilight Convergence)",Vol 2,91–95,"Midnight Archmage, rival turned ally"
20,Lilith,"2 (Shadow Spirit Court)",Vol 3,126–130,"Abyssal Demon Noblewoman, anti-hero"
21,Solara,"1 (Celestial Dragon Court)",Vol 4,171–175,"Solar General, ally"
22,Seli,"5 (Twilight Convergence)",Vol 2,96–100,"Elven Lantern Noblewoman, ally"
23,Selena,"5 (Twilight Convergence)",Vol 2,"61–65 (with Elara)","Neon Idol, pop star"
24,Stella,"1 (Celestial Dragon Court)",Vol 4,176–180,"Stellar Gauntlet Warrior, ally"
25,Kaito,"5 (Twilight Convergence)",Vol 2,"71–75 (with Ame)","Battle Salaryman, ally"
26,Onimaru,"2 (Shadow Spirit Court)",Vol 3,131–135,"Hannya-Masked Warlord, rival"
27,Kaelen,"1 (Celestial Dragon Court)",Vol 4,181–185,"Solar Flame Ascetic, ally"
28,Ren,"2 (Shadow Spirit Court)",Vol 3,136–140,"Oni-Masked Exorcist, friend"
29,Feather,"3 (Immortal Garden)",Vol 1,17–20,"Peacock-Blade Aristocrat, later friend"
30,Orion,"1 (Celestial Dragon Court)",Vol 4,186–190,"Celestial Mariner, ally"
31,Drake,"5 (Twilight Convergence)",Vol 2,"66–70 (with Hana)","Dragon-Blade Street King, friend"
32,Sparkle,"5 (Twilight Convergence)",Vol 2,"81–85 (with Taiyo&Tsuki)","Twin-Blade Birthday Idol, ally"
33,Kage,"2 (Shadow Spirit Court)",Vol 3,141–145,"Feathered Glaive Shadow, ally"
34,Fanny,"1 (Celestial Dragon Court)",Vol 4,191–195,"Royal Cavalry, ally"
35,Nova,"1 (Celestial Dragon Court)",Vol 4,196–200,"Cosmic Vanguard, ally"
36,Iori,"2 (Shadow Spirit Court)",Vol 3,146–150,"Flame of Ruin, rival"
37,Zero,"5 (Twilight Convergence)",Vol 2,"86–90 (with Crystal)","Aether-Blade Cyclist, ally"
38,K',"5 (Twilight Convergence)",Vol 2,"91–95 (with Morgana)","Flame of Resistance, ally"
